Elapsed Time,Phi 1,Phi 2,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
0.134435,0.798013,5.49285,-0.0724952,-0.079038,-0.339673,-0.49648
0.135184,0.798432,5.49251,-0.0773637,-0.0769779,-0.324233,-0.488391
0.135948,0.798685,5.49222,-0.0685296,-0.0718445,-0.329442,-0.492978
0.136684,0.798999,5.49181,-0.0690293,-0.0768625,-0.356121,-0.512312
0.137437,0.799381,5.4913,-0.0723546,-0.0875838,-0.33794,-0.4981
0.138184,0.799713,5.49096,-0.0709231,-0.0820294,-0.342102,-0.502227
0.138934,0.800154,5.49067,-0.0792049,-0.074929,-0.35961,-0.531789
0.139684,0.800445,5.49024,-0.07363,-0.0795037,-0.349741,-0.510065
0.140434,0.800804,5.48976,-0.0740328,-0.0872299,-0.353954,-0.512434
0.141182,0.801154,5.4894,-0.0740724,-0.0842832,-0.378455,-0.536256
0.141933,0.801428,5.48903,-0.0700709,-0.08327,-0.362987,-0.519849
0.142683,0.801897,5.48859,-0.0795108,-0.0872001,-0.379937,-0.538947
0.143437,0.802315,5.48801,-0.0826349,-0.0985995,-0.369469,-0.524415
0.144184,0.802724,5.4876,-0.0831192,-0.0963308,-0.372873,-0.527661
0.144935,0.803075,5.48709,-0.0802601,-0.100596,-0.388043,-0.535548
0.145686,0.803662,5.48661,-0.0948869,-0.100816,-0.378643,-0.532681
0.146443,0.804198,5.48604,-0.101351,-0.105558,-0.380911,-0.534555
0.147184,0.804646,5.48549,-0.0992511,-0.109462,-0.39982,-0.545177
0.147935,0.805209,5.48493,-0.105106,-0.11372,-0.38599,-0.538089
0.148684,0.806027,5.4844,-0.126053,-0.113687,-0.384584,-0.540946
0.149435,0.8066,5.48377,-0.124067,-0.119625,-0.395998,-0.547802
0.150187,0.807094,5.4832,-0.118907,-0.119107,-0.38927,-0.543687
0.150935,0.807696,5.4825,-0.12194,-0.127836,-0.390978,-0.543885
0.151687,0.808305,5.48178,-0.123411,-0.134757,-0.40072,-0.544812
0.152436,0.809105,5.48115,-0.138295,-0.134016,-0.39174,-0.545592
0.153186,0.809804,5.48043,-0.142365,-0.139254,-0.395172,-0.5468
0.153936,0.810454,5.47965,-0.140326,-0.146455,-0.39365,-0.545177
0.154687,0.811262,5.47901,-0.150747,-0.143612,-0.392644,-0.546703
0.155436,0.811961,5.47823,-0.149388,-0.149964,-0.396422,-0.544114
0.156192,0.812709,5.47745,-0.151842,-0.155615,-0.393511,-0.545904
0.156938,0.813584,5.47661,-0.162875,-0.162391,-0.392136,-0.544987
0.157685,0.814302,5.4758,-0.159294,-0.164336,-0.394693,-0.540801
0.158435,0.81513,5.47511,-0.165136,-0.158409,-0.391529,-0.545108
0.159185,0.815952,5.47407,-0.16802,-0.178656,-0.391346,-0.541671
0.159937,0.816804,5.4733,-0.171754,-0.173306,-0.384517,-0.541359
0.160686,0.817784,5.47243,-0.184718,-0.178075,-0.387568,-0.540704
0.161434,0.818623,5.47143,-0.182711,-0.188871,-0.387052,-0.537821
0.162186,0.819595,5.47044,-0.190189,-0.194891,-0.373682,-0.523509
0.162933,0.820667,5.46947,-0.202486,-0.198594,-0.381399,-0.533427
0.163686,0.821642,5.46857,-0.205172,-0.195845,-0.36709,-0.525144
0.164437,0.822669,5.4676,-0.209767,-0.199294,-0.376075,-0.530162
0.165184,0.823523,5.46644,-0.200861,-0.215913,-0.375784,-0.525158
0.165936,0.824572,5.46553,-0.20674,-0.208648,-0.356338,-0.516975
0.166685,0.825696,5.4645,-0.216605,-0.210746,-0.368491,-0.521355
0.167434,0.826806,5.46333,-0.223326,-0.220726,-0.365002,-0.517094
0.168186,0.82786,5.46244,-0.22362,-0.211096,-0.345097,-0.509922
0.168935,0.828857,5.46127,-0.219017,-0.222,-0.359523,-0.511472
0.169686,0.830001,5.46018,-0.226784,-0.22539,-0.355479,-0.508122
0.170434,0.831145,5.45903,-0.231344,-0.231801,-0.331264,-0.483793
0.171185,0.832197,5.45787,-0.227918,-0.23626,-0.348785,-0.499747
0.171937,0.833325,5.45683,-0.231074,-0.231864,-0.344809,-0.497087
0.172682,0.83446,5.4557,-0.23297,-0.23433,-0.320907,-0.473976
0.173435,0.835563,5.45464,-0.232445,-0.2304,-0.337268,-0.490383
0.174187,0.836637,5.45365,-0.229633,-0.222797,-0.325379,-0.482259
0.174934,0.837728,5.45255,-0.229081,-0.226701,-0.330447,-0.484563
0.175683,0.838773,5.45151,-0.226259,-0.225516,-0.327484,-0.481657
0.176434,0.839857,5.45034,-0.227149,-0.232092,-0.307835,-0.455378
0.177185,0.840937,5.44929,-0.22798,-0.228813,-0.320984,-0.474427
0.177935,0.842013,5.44819,-0.228936,-0.230132,-0.317788,-0.470881
0.178684,0.843063,5.44708,-0.226689,-0.231864,-0.299794,-0.448141
0.179434,0.844082,5.44596,-0.22368,-0.233675,-0.312493,-0.463112
0.180186,0.845121,5.44503,-0.222976,-0.22181,-0.309332,-0.461653
0.18094,0.846187,5.44384,-0.22569,-0.232483,-0.291432,-0.433582
0.181684,0.847241,5.44275,-0.224353,-0.23125,-0.303525,-0.453385
0.182435,0.848279,5.44168,-0.223905,-0.22919,-0.300743,-0.450067
0.183187,0.849273,5.44073,-0.219566,-0.220767,-0.285495,-0.438887
0.183943,0.850294,5.43983,-0.218446,-0.211096,-0.295245,-0.447137
0.184685,0.851419,5.43871,-0.224291,-0.219865,-0.271853,-0.423594
0.185437,0.852415,5.43783,-0.220371,-0.208931,-0.288677,-0.442385
0.186189,0.853338,5.43679,-0.213212,-0.212817,-0.287274,-0.439137
0.186935,0.854302,5.43568,-0.211009,-0.219023,-0.275195,-0.416096
0.187686,0.855098,5.43483,-0.196288,-0.207687,-0.285141,-0.434
0.188435,0.856021,5.43393,-0.196183,-0.201082,-0.283349,-0.432594
0.189185,0.856894,5.4331,-0.191265,-0.192995,-0.275337,-0.428199
0.189934,0.857669,5.43219,-0.181782,-0.19393,-0.28209,-0.429926
0.190686,0.858462,5.43131,-0.176613,-0.191352,-0.281878,-0.428491
0.191433,0.859396,5.43053,-0.18364,-0.183287,-0.269043,-0.427786
0.192185,0.860238,5.42966,-0.181862,-0.184333,-0.278812,-0.427213
0.192986,0.86103,5.42888,-0.17697,-0.178596,-0.279178,-0.428935
0.193687,0.861808,5.42823,-0.173186,-0.165375,-0.277773,-0.428291
0.194435,0.862563,5.42728,-0.168197,-0.174767,-0.278183,-0.425862
0.195186,0.863326,5.42655,-0.166228,-0.168732,-0.277148,-0.427426
0.195937,0.864033,5.42581,-0.161215,-0.16485,-0.278513,-0.426135
0.196684,0.864714,5.42494,-0.155065,-0.171954,-0.279637,-0.424426
0.197435,0.86534,5.42426,-0.147598,-0.162496,-0.287743,-0.428727
0.198184,0.866056,5.42348,-0.147674,-0.16228,-0.281503,-0.42459
0.198936,0.866803,5.42281,-0.150496,-0.156844,-0.281377,-0.425515
0.199685,0.867334,5.42224,-0.138569,-0.145255,-0.295042,-0.436318
0.200436,0.86797,5.42151,-0.136855,-0.148939,-0.285045,-0.427188
0.201185,0.868497,5.42088,-0.129826,-0.145177,-0.287517,-0.428129
0.201933,0.869081,5.42032,-0.128125,-0.137484,-0.29322,-0.434998
0.202686,0.869634,5.41975,-0.124775,-0.133729,-0.291152,-0.431842
0.203435,0.870149,5.4191,-0.119705,-0.136665,-0.293808,-0.43256
0.204184,0.870609,5.4186,-0.11318,-0.128674,-0.311923,-0.447285
0.204938,0.871019,5.41805,-0.104942,-0.124468,-0.300603,-0.436558
0.205685,0.871529,5.41753,-0.106336,-0.119279,-0.315151,-0.450843
